code,platform,module,variant,level,description,en_implication,en_solution,zh_implication,zh_solution,de_implication,de_solution,fr_implication,fr_solution,it_implication,it_solution,ja_implication,ja_solution,es_implication,es_solution,cs_implication,cs_solution,ko_implication,ko_solution,sk_implication,sk_solution,pl_implication,pl_solution,nl_implication,nl_solution,da_implication,da_solution,sr_implication,sr_solution,sv_implication,sv_solution,sl_implication,sl_solution,pt_implication,pt_solution,hu_implication,hu_solution,hr_implication,hr_solution,no_implication,no_solution,fi_implication,fi_solution,ro_implication,ro_solution,bg_implication,bg_solution,et_implication,et_solution,lv_implication,lv_solution,lt_implication,lt_solution
0,2,common,STATE_0,1,请求成功,Request succeeded,,请求成功,,Anfrage erfolgreich,,Demande réussie,,Richiesta riuscita,,,,Solicitud correcta,,Žádost byla úspěšná,,,,Žiadosť bola úspešná,,Żądanie pomyślne,,Verzoek Succesvol,,Anmodningen lykkedes,,,,Begäran lyckades,,Zahteva je bila uspešna,,,,,,,,,,,,,,,,,,,,,
2,3,upgrade,STATE_2,1,,Please try again after the battery level is over 30%,,确保电量大于30%后重试,,Nach überprüfung des Akkustands (〉30%) erneut versuchen,,Réessayez après batterie 〉 30%,,Riprova con batteria 〉 30%,,,,Reintentar después de asegurarse batería 〉 30%,,"Ujistěte se, že baterie je větší než 30%, a zkuste to znovu.",,,,Skúste to znova až bude batéria nabitá na viac ako 30%,,"Spróbuj ponownie po upewnieniu się, że bateria 〉 30%",,Probeer het opnieuw nadat de batterij 〉 30% is,,"Prøv igen, når batteriniveauet er over 30 %",,,,Försök igen när batterinivån är över 30 %,,"Poskusite znova, ko bo raven napolnjenosti baterije presegla 30 %.",,,,,,,,,,,,,,,,,,,,,
10,3,upgrade,STATE_10,1,,Firmware mismatch,,固件不匹配,,Firmware nicht kompatibel,,Incompatibilité du firmware,,Firmware non corrispondente,,,,Firmware no compatible,,Neshoda firmwaru,,,,Nezhoda firmware,,Nieodpowiednie oprogramowanie systemowe,,Firmware-incompatibiliteit,,Uoverensstemmelse mellem firmware,,,,Firmware matchar inte,,Neustrezna vdelana programska oprema,,,,,,,,,,,,,,,,,,,,,
12,3,upgrade,STATE_12,1,,Firmware error,,固件大小异常,,Ungewöhnliche Firmware-Größe,,Taille anormale du micrologiciel,,Dimensione anormale del firmware,,,,Tamaño anormal del firmware,,Výjimka velikosti firmwaru,,,,Error irmware,,Nienormalny rozmiar oprogramowania systemowego,,Firmware foutmelding,,Firmware fejl,,,,Firmware-fel,,Napaka strojne programske opreme,,,,,,,,,,,,,,,,,,,,,
13,3,upgrade,STATE_13,1,,Firmware download failed,,固件下载失败,,Firmware-Download fehlgeschlagen,,échec du téléchargement du micrologiciel,,Download del firmware non riuscito,Download del firmware fallito,,,Error al descargar el firmware,,Stažení firmwaru selhalo,,,,Stiahnutie firmware zlyhalo,,Niepowodzenie pobierania oprogramowania systemowego,,Firmware downloaden mislukt,,Download af firmware mislykkedes,,,,Nedladdning av fast programvara misslyckades,,Prenos vdelane programske opreme ni uspel,,,,,,,,,,,,,,,,,,,,,
40,3,upgrade,STATE_40,1,确保电量大于40%后重试,Please try again after the battery level is over 40%,,确保电量大于40%后重试,,Nach überprüfung des Akkustands (〉40%) erneut versuchen,,Réessayez après batterie 〉 40%,,Riprova con batteria 〉 40%,,,,Reintentar después de asegurarse batería 〉 40%,,"Ujistěte se, že baterie je větší než 40%, a zkuste to znovu.",,,,Skúste to znova až bude batéria nabitá na viac ako 40%,,"Spróbuj ponownie po upewnieniu się, że bateria 〉 40%",,Probeer het opnieuw nadat de batterij 〉 40% is,,"Prøv igen, når batteriniveauet er over 40 %",,,,Försök igen när batterinivån är över 40 %,,"Poskusite znova, ko bo raven napolnjenosti baterije presegla 40 %.",,,,,,,,,,,,,,,,,,,,,
100,3,navigation,STATE_100,1,机器超出边界，无法作业(%s),The robot cannot work as it is out of task areas (%s),,机器超出边界，无法作业(%s),,"Die Maschine kann nicht arbeiten, weil sie sich außerhalb der Grenze (%s) befindet.",,Impossible de faire fonctionner la machine car elle est hors limites ( %s),,La macchina non è in grado di funzionare perché è fuori confine (%s),,,,La máquina no puede funcionar porque está fuera de los límites (%s),,Robot nemůže pracovat protože je mimo oblast sečení (%s),,,,Robot nemôže pracovať pretože je mimo oblasti kosenia (%s),,"Maszyna nie może pracować, ponieważ jest poza granicami (%s)",,Kan de machine niet bedienen omdat deze buiten bereik is (%s),,"Robotten kan ikke arbejde, da den er uden for opgaveområder (%s)",,,,Roboten kan inte fungera eftersom den är utanför klippningsområdena (%s),,"Robot ne more delovati, ker je izven območij nalog (%s)",,,,,,,,,,,,,,,,,,,,,
111,3,motor,STATE_111,1,左前轮毂电机温度过高,The left front wheel hub motor is overheating,The robot will come back to normal once the motor temperature decreases. This may take several minutes,左前轮毂电机温度过高,温度下降后设备将恢复正常，该过程可能需要几分钟,Temperatur im linken vorderen Nabenmotor zu hoch,"Das Gerät normalisiert sich wieder, nachdem die Temperatur gefallen ist, und dieser Vorgang kann mehrere Minuten dauern",Température du moteur du moyeu avant gauche trop élevée,Le dispositif reviendra à la normale après une baisse de la température et ce processus peut prendre plusieurs minutes.,Temperatura del motore del mozzo anteriore sinistro troppo alta,"Il dispositivo tornerà alla normalità al calo della temperatura, e questo processo potrebbe richiedere diversi minuti",,,Temperatura del motor del buje delantero izquierdo demasiado alta,El dispositivo volverá a la normalidad después de que baje la temperatura y este proceso puede tardar varios minutos,Teplota motoru levého předního kola je příliš vysoká,"Robot se vrátí do normálu, jakmile teplota motoru klesne. To může trvat několik minut",,,Teplota motora ľavého predného kolesa je príliš vysoká,"Robot sa vráti do normálu, akonáhle teplota motora klesne. To môže trvať niekoľko minút",Zbyt wysoka temperatura silnika lewego koła przedniego,"Robot powróci do pracy po spadku temperatury, co może potrwać kilka minut",Temperatuur linker voornaafmotor te hoog,"Robot zal terugkeren naar de gewenste staat nadat de temperatuur gedaald is, dit kan enkele minuten duren",Den venstre forhjulsmotor er overophedet,"Robotten vender tilbage til normal, når motortemperaturen falder. Dette kan tage flere minutter",,,Vänster framhjulsnavsmotor är överhettad,Roboten kommer att återgå till det normala när motortemperaturen sjunker. Det här kan ta flera minuter,Motor levega sprednjega kolesa se pregreva,"Robot se bo normalizirala, ko se bo temperatura motorja zmanjšala. To lahko traja nekaj minut",,,,,,,,,,,,,,,,,,,,
112,3,motor,STATE_112,1,左前轮毂电机温度过低,The temperature of the left front wheel hub is too low,The ambient temperature is too low. Recommended to operate the robot above -10°C.,左前轮毂电机温度过低,环境温度过低，建议让Robot在高于-10摄氏度的作业环境下作业,Temperatur im linken vorderen Nabenmotor zu niedrig,"Die Umgebungstemperatur ist zu niedrig. Es wird empfohlen, dass Roboter in einer Umgebung über -10 °C arbeitet",Température du moteur du moyeu avant gauche trop basse,La température ambiante est trop basse. Il est recommandé que robot fonctionne dans une température ambiante supérieure à -10 °C.,Temperatura del motore del mozzo anteriore sinistro troppo bassa,La temperatura ambiente è troppo bassa. Si raccomanda che robot lavori in un ambiente con temperatura superiore a -10 gradi Celsius,,,Temperatura del motor del buje delantero izquierdo demasiado baja,La temperatura ambiente es demasiado baja. Se recomienda que robot funcione en un entorno superior a –10 grados Celsius,Teplota motoru levého předního kola je příliš nízká,Okolní teplota je příliš nízká. robot může pracovat při teplotě prostředí nad -10 °C,,,Teplota motora ľavého predného kolesa je príliš nízka,Okolitá teplota je príliš nízka. Robot môže pracovať pri teplote prostredie nad -10 °C,Zbyt niska temperatura silnika lewego koła przedniego,"Temperatura otoczenia jest zbyt niska. Zaleca się, aby robot pracowała w środowisku powyżej -10°C",Temperatuur linker voornaafmotor te laag,De temperatuur is te laag. Het wordt aanbevolen dat robot maait in een omgeving boven -10°C,Temperaturen på venstre forhjulsmotor er for lav,Omgivelsestemperaturen er for lav. Anbefales til at betjene robotten over -10 °C.,,,Temperaturen på det vänstra framhjulsnavet är för låg,Den omgivande temperaturen är för låg. Rekommenderas för att använda roboten över -10°C.,Temperatura levega sprednjega kolesa je prenizka,"Temperatura okolice je prenizka. Priporočljivo je, da naprava robot deluje pri temperaturi nad -10 °C.",,,,,,,,,,,,,,,,,,,,
113,3,motor,STATE_113,2,左前轮毂电机过载,The left front wheel hub motor is overloaded,The robot or wheel hub stuck. Check if the robot gets stuck by obstacles and if the left front wheels run well,左前轮毂电机过载,机器或轮毂卡住，请检查Robot是否被障碍卡住以及左前轮状态；,Überlastung des linken vorderen Nabenmotors,"Die Maschine oder Nabe steckt fest. Prüfen Sie, ob Roboter an Hindernissen feststeckt, und den Status des linken Vorderrads;",Surcharge du moteur du moyeu avant gauche,La machine ou le moyeu est coincé. Vérifiez si robot est coincé par des obstacles et l’état de la roue avant gauche ;,Sovraccarico del motore del mozzo anteriore sinistro,Blocco della macchina o del mozzo. Controllare se robot è bloccato da ostacoli e verificare lo stato della ruota anteriore sinistra;,,,Sobrecarga del motor del buje delantero izquierdo,La máquina o el cubo están atascados. Compruebe si robot está atascado por obstáculos y verifique el estado de la rueda delantera izquierda.,Motor levého předního kola je přetížený,Robot nebo kolo uvízly. Zkontrolujte robot a zda se levé přední kolo dobře otáčí,,,Motor ľavého predného kolesa je preťažený,Robot alebo koleso uviazli. Skontrolujte robot a či sa ľavé predné koleso dobre otáča,Przeciążenie silnika lewego koła przedniego,"Robot utknęła, sprawdź lewe przednie koło",Overbelasting van de linker voornaafmotor,Robot zit vast. Controleer op obstakels en kijk de toestand van het linker voorwiel na,Den venstre forhjulsmotor er overbelastet,"Robotten eller hjulnavet sidder fast. Kontroller, om robotten sidder fast af forhindringer, og om venstre forhjul kører godt",,,Vänster framhjulsnavsmotor är överbelastad,Roboten eller hjulnavet har fastnat. Kontrollera om roboten fastnar av hinder och om de vänstra framhjulen går bra,Motor levega sprednjega kolesa je preobremenjen,"Robot ali pesto kolesa se je zataknilo. Preverite, ali se robot zatakne ob ovire in ali leva sprednja kolesa dobro delujejo.",,,,,,,,,,,,,,,,,,,,
